"Network controller","0280","Intel Corporation Wi-Fi 6 AX200 ","8086:2723","1a","Intel Corporation Wi-Fi 6 AX200NGW [8086:0084]"
"Non-Volatile memory controller","0108","Yangtze Memory Technologies Co.,Ltd PC411 NVMe SSD (DRAM-less) ","1e49:1071","01","Yangtze Memory Technologies Co.,Ltd PC411 NVMe SSD (DRAM-less) [1e49:1071]"
"VGA compatible controller","0300","Advanced Micro Devices, Inc. [AMD/ATI] Phoenix3 ","1002:1900","c5","AIstone Global Limited Device [1d05:137d] Subsystem: AIstone Global Limited Device [1d05:137d]"
"Encryption controller","1080","Advanced Micro Devices, Inc. [AMD] Family 19h (Model 74h) CCP/PSP 3.0 Device ","1022:15c7","-","AIstone Global Limited Device [1d05:137d]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Device ","1022:15b9","-","AIstone Global Limited Device [1d05:137d]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Device ","1022:15ba","-","AIstone Global Limited Device [1d05:137d]"
"Multimedia controller","0480","Advanced Micro Devices, Inc. [AMD] ACP/ACP3X/ACP6x Audio Coprocessor ","1022:15e2","63","AIstone Global Limited Device [1d05:137d]"
"Audio device","0403","Advanced Micro Devices, Inc. [AMD] Family 17h/19h HD Audio Controller ","1022:15e3","-","AIstone Global Limited Device [1d05:137d]"
"Non-Essential Instrumentation","1300","Advanced Micro Devices, Inc. [AMD] Device ","1022:14ec","-","AIstone Global Limited Device [1d05:137d]"
"Signal processing controller","1180","Advanced Micro Devices, Inc. [AMD] AMD IPU Device ","1022:1502","-","AIstone Global Limited Device [1d05:137d]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Device ","1022:15c0","-","AIstone Global Limited Device [1d05:137d]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Device ","1022:15c1","-","AIstone Global Limited Device [1d05:137d]"
"USB controller","0C03","Advanced Micro Devices, Inc. [AMD] Pink Sardine USB4/Thunderbolt NHI controller #2 ","1022:1669","-","AIstone Global Limited Device [1d05:137d]"
"Host bridge","0600","Advanced Micro Devices, Inc. [AMD] Device ","1022:14e8","-","Advanced Micro Devices, Inc. [AMD] Device [1022:14e8] lspci: Unable to load libkmod resources: error -2"
"Network controller","0280","Qualcomm Technologies, Inc QCNFA765 Wireless Network Adapter ","17cb:1103","01","Foxconn International, Inc. Device [105b:e0ce]"
"Non-Volatile memory controller","0108","MAXIO Technology (Hangzhou) Ltd. NVMe SSD Controller MAP1602 (DRAM-less) ","1e4b:1602","01","MAXIO Technology (Hangzhou) Ltd. NVMe SSD Controller MAP1602 (DRAM-less) [1e4b:1602]"
"PCI bridge","0604","ASMedia Technology Inc. Device ","1b21:2463","-","ASMedia Technology Inc. Device [1b21:2463]"
"Ethernet controller","0200","Mellanox Technologies MT27710 Family [ConnectX-4 Lx] ","15b3:1015","-","Mellanox Technologies MCX4421A-ACQN ConnectX-4 Lx EN OCP,2x25G [15b3:0021]"
"VGA compatible controller","0300","Advanced Micro Devices, Inc. [AMD/ATI] Phoenix1 ","1002:15bf","c2","AIstone Global Limited Device [1d05:140b]"
